key,es,en,de,pt,fr,it
ERROR_USER_ALREADY_EXISTS,"Error, el usuario ya existe","Error, the user already exists",Fehler: Der Benutzer existiert bereits.,"Erro, o usuário já existe.","Erreur, cet utilisateur existe déjà.","Errore, l'utente esiste già"
ERROR_WEAK_PASSWORD,"Error, Contraseña insegura: {0}","Error, Insecure password: {0}","Fehler, unsicheres Passwort: {0}","Erro, senha insegura: {0}","Erreur, mot de passe non sécurisé : {0}","Errore, password non sicura: {0}"
PROBLEM_8_CHARACTERS,La contraseña debe tener al menos 8 caracteres,The password must be at least 8 characters long,Das Passwort muss mindestens 8 Zeichen lang sein.,A senha deve ter pelo menos 8 caracteres.,Le mot de passe doit comporter au moins 8 caractères.,La password deve essere lunga almeno 8 caratteri
PROBLEM_UPPER,Debe contener al menos una letra mayúscula,It must contain at least one capital letter,Es muss mindestens einen Großbuchstaben enthalten.,Deve conter pelo menos uma letra maiúscula.,Elle doit contenir au moins une lettre majuscule,Deve contenere almeno una lettera maiuscola
PROBLEM_LOWER,Debe contener al menos una letra minúscula,It must contain at least one lowercase letter,Es muss mindestens einen Kleinbuchstaben enthalten.,Deve conter pelo menos uma letra minúscula.,Elle doit contenir au moins une lettre minuscule,Deve contenere almeno una lettera minuscola
PROBLEM_NUMBER,Debe contener al menos un número,It must contain at least one number,Es muss mindestens eine Zahl enthalten.,Deve conter pelo menos um número.,Il doit contenir au moins un nombre,Deve contenere almeno un numero
PROBLEM_SPECIAL_CHARACTER,Debe contener al menos un carácter especial (!@#$%^&*()-_+=),It must contain at least one special character (!@#$%^&*()-_+=),Es muss mindestens ein Sonderzeichen enthalten (!@#$%^&*()-_+=),Deve conter pelo menos um caractere especial (!@#$%^&*()-_+=),Il doit contenir au moins un caractère spécial (!@#$%^&*()-_+=),Deve contenere almeno un carattere speciale (!@#$%^&*()-_+=)
PROBLEM_SPACE,No debe contener espacios,It must not contain spaces.,Es darf keine Leerzeichen enthalten.,Não deve conter espaços.,Il ne doit pas contenir d'espaces.,Non deve contenere spazi.
ERROR_LOGIN,Usuario o contraseña incorrectos,Incorrect username or password,Falscher Benutzername oder falsches Passwort,Nome de usuário ou senha incorretos,Nom d'utilisateur ou mot de passe incorrect,Nome utente o password errati
ERROR_ACCOUNT_NOT_FOUND,Usuario no encontrado,User not found,Benutzer nicht gefunden,Usuário não encontrado,Utilisateur introuvable,Utente non trovato
ERROR_INVALID_ONE_TIME_CODE,Error: Ese One Time Code no es valido para ese usuario,Error: That One Time Code is not valid for that user,Fehler: Dieser Einmalcode ist für diesen Benutzer ungültig.,Erro: Esse código de uso único não é válido para esse usuário.,Erreur : Ce code à usage unique n’est pas valide pour cet utilisateur.,Errore: il codice monouso non è valido per quell'utente
ERROR_EVENT_NULL_FIELDS,No se pudo crear el evento dado que hay campos faltantes: {0},The event could not be created because there are missing fields: {0},"Das Ereignis konnte nicht erstellt werden, da Felder fehlen: {0}",O evento não pôde ser criado porque faltam campos: {0},L'événement n'a pas pu être créé car des champs sont manquants : {0},L'evento non può essere creato perché mancano i campi: {0}
PROBLEM_NULL_TITLE,Titulo del evento,Event Title,Veranstaltungstitel,Título do evento,Titre de l'événement,Titolo dell'evento
PROBLEM_NULL_DESCRIPTION,Descripcion del evento,Event description,Veranstaltungsbeschreibung,Descrição do evento,Description de l'événement,Descrizione dell'evento
PROBLEM_NULL_STARTDATETIME,Inicio del evento,Event Start,Veranstaltungsbeginn,Início do evento,Début de l'événement,Inizio dell'evento
PROBLEM_NULL_DURATIONMINUTES,Duracion del evento,Event duration,Veranstaltungsdauer,Duração do evento,Durée de l'événement,Durata dell'evento
PROBLEM_NULL_LOCATION,Ubicacoin del evento,Event Location,Veranstaltungsort,Local do evento,Lieu de l'événement,Luogo dell'evento
PROBLEM_NULL_MAXPARTICIPANTS,Maxima cantidad de participantes,Maximum number of participants,Maximale Teilnehmerzahl,Número máximo de participantes,Nombre maximal de participants,Numero massimo di partecipanti
