key,es,en,de,pt,fr,it
ERROR_USER_ALREADY_EXISTS,"Error, el usuario ya existe","Error, user already exists","Fehler, Benutzer existiert bereits","Erro, o usuário já existe","Erreur, l'utilisateur existe déjà","Errore, l'utente esiste già"
ERROR_WEAK_PASSWORD,"Error, Contraseña insegura: {0}","Error, Insecure password: {0}","Fehler, unsicheres Passwort: {0}","Erro, senha insegura: {0}","Erreur, mot de passe non sécurisé : {0}","Errore, password non sicura: {0}"
PROBLEM_8_CHARACTERS,La contraseña debe tener al menos 8 caracteres,The password must be at least 8 characters long.,Das Passwort muss mindestens 8 Zeichen lang sein.,A senha deve ter pelo menos 8 caracteres.,Le mot de passe doit comporter au moins 8 caractères.,La password deve essere lunga almeno 8 caratteri.
PROBLEM_UPPER,Debe contener al menos una letra mayúscula,Must contain at least one capital letter,Muss mindestens einen Großbuchstaben enthalten,Deve conter pelo menos uma letra maiúscula,Doit contenir au moins une lettre majuscule,Deve contenere almeno una lettera maiuscola
PROBLEM_LOWER,Debe contener al menos una letra minúscula,Must contain at least one lowercase letter,Muss mindestens einen Kleinbuchstaben enthalten,Deve conter pelo menos uma letra minúscula,Doit contenir au moins une lettre minuscule,Deve contenere almeno una lettera minuscola
PROBLEM_NUMBER,Debe contener al menos un número,Must contain at least one number,Muss mindestens eine Zahl enthalten,Deve conter pelo menos um número,Doit contenir au moins un chiffre,Deve contenere almeno un numero
PROBLEM_SPECIAL_CHARACTER,Debe contener al menos un carácter especial (!@#$%^&*()-_+=),Must contain at least one special character (!@#$%^&*()-_+=),Muss mindestens ein Sonderzeichen enthalten (!@#$%^&*()-_+=),Deve conter pelo menos um caractere especial (!@#$%^&*()-_+=),Doit contenir au moins un caractère spécial (!@#$%^&*()-_+=),Deve contenere almeno un carattere speciale (!@#$%^&*()-_+=)
PROBLEM_SPACE,No debe contener espacios,Must not contain spaces,Darf keine Leerzeichen enthalten,Não deve conter espaços,Ne doit pas contenir d'espaces,Non deve contenere spazi
ERROR_LOGIN,Usuario o contraseña incorrectos,Incorrect username or password,Falscher Benutzername oder falsches Passwort,Nome de usuário ou senha incorretos,Nom d'utilisateur ou mot de passe incorrect,Nome utente o password errati
ERROR_ACCOUNT_NOT_FOUND,Usuario no encontrado,User not found,Benutzer nicht gefunden,Usuário não encontrado,Utilisateur non trouvé,Utente non trovato
ERROR_INVALID_ONE_TIME_CODE,Error: Ese One Time Code no es valido para ese usuario,Error: That One Time Code is not valid for that user,Fehler: Dieser Einmalcode ist für diesen Benutzer ungültig,Erro: Esse código único não é válido para esse usuário,Erreur : ce code à usage unique n'est pas valide pour cet utilisateur,Errore: il codice monouso non è valido per quell'utente
